OmicsType1	SampleID1	OmicsType2	SampleID2	Relatedness	Match
omics2	S1	omics1	S1	0.9778299331665039	Y
omics2	S2	omics1	S2	0.9724648594856262	Y
omics2	S3	omics1	S3	1.0035074949264526	Y
omics2	S4	omics1	S44	0.9548709988594055	N
omics2	S5	omics1	S45	0.9632565975189209	N
omics2	S6	omics1	S46	1.1251832246780396	N
omics2	S7	omics1	S47	1.1311757564544678	N
omics2	S8	omics1	S48	1.0669208765029907	N
omics2	S9	omics1	S9	0.9745204448699951	Y
omics2	S10	omics1	S10	1.0202518701553345	Y
omics2	S11	omics1	S11	1.1070791482925415	Y
omics2	S12	omics1	S12	0.9251306056976318	Y
omics2	S13	omics1	S13	0.9697703123092651	Y
omics2	S14	omics1	S94	0.9028977155685425	N
omics2	S15	omics1	S95	0.8305870890617371	N
omics2	S16	omics1	S96	1.186283826828003	N
omics2	S17	omics1	S97	1.1101747751235962	N
omics2	S18	omics1	S98	0.9019328355789185	N
omics2	S19	omics1	S19	1.0427886247634888	Y
omics2	S20	omics1	S20	0.9978823661804199	Y
omics2	S21	omics1	S21	0.9238344430923462	Y
omics2	S22	omics1	S22	1.0289437770843506	Y
omics2	S23	omics1	S23	0.9956426024436951	Y
omics2	S24	omics1	S24	0.9481878876686096	Y
omics2	S25	omics1	S25	0.9548607468605042	Y
omics2	S26	omics1	S26	0.9607565402984619	Y
omics2	S27	omics1	S27	0.8261055946350098	Y
omics2	S28	omics1	S28	1.0350884199142456	Y
omics2	S29	omics1	S29	0.8424789309501648	Y
omics2	S30	omics1	S30	1.081953763961792	Y
omics2	S31	omics1	S31	0.9429978132247925	Y
omics2	S32	omics1	S32	1.0709933042526245	Y
omics2	S33	omics1	S33	0.8608582615852356	Y
omics2	S34	omics1	S34	0.9539090991020203	Y
omics2	S35	omics1	S35	1.0169585943222046	Y
omics2	S36	omics1	S36	0.9610004425048828	Y
omics2	S37	omics1	S37	1.0510387420654297	Y
omics2	S38	omics1	S38	0.9575290679931641	Y
omics2	S39	omics1	S39	0.9721090793609619	Y
omics2	S40	omics1	S40	0.934607744216919	Y
omics2	S41	omics1	S41	1.1665741205215454	Y
omics2	S42	omics1	S42	0.9668154120445251	Y
omics2	S43	omics1	S43	0.9253631234169006	Y
omics2	S44	omics1	S4	0.9794229865074158	N
omics2	S45	omics1	S5	0.8746848106384277	N
omics2	S46	omics1	S6	0.7993989586830139	N
omics2	S47	omics1	S7	1.0410327911376953	N
omics2	S48	omics1	S8	1.0747965574264526	N
omics2	S49	omics1	S49	1.1421619653701782	Y
omics2	S50	omics1	S50	0.9660921692848206	Y
omics2	S51	omics1	S51	1.0670214891433716	Y
omics2	S52	omics1	S52	0.7898985743522644	Y
omics2	S53	omics1	S53	0.9739626049995422	Y
omics2	S54	omics1	S54	0.9774793386459351	Y
omics2	S55	omics1	S55	0.8979165554046631	Y
omics2	S56	omics1	S56	1.1492879390716553	Y
omics2	S57	omics1	S57	0.8742883205413818	Y
omics2	S58	omics1	S58	0.9177338480949402	Y
omics2	S59	omics1	S59	0.8945307731628418	Y
omics2	S60	omics1	S60	0.8672016859054565	Y
omics2	S61	omics1	S61	0.9529950022697449	Y
omics2	S62	omics1	S62	1.1018024682998657	Y
omics2	S63	omics1	S63	1.0558700561523438	Y
omics2	S64	omics1	S64	1.2325825691223145	Y
omics2	S65	omics1	S65	0.9294944405555725	Y
omics2	S66	omics1	S66	0.8654319047927856	Y
omics2	S67	omics1	S67	1.0268279314041138	Y
omics2	S68	omics1	S68	0.8453603982925415	Y
omics2	S69	omics1	S69	0.9918044805526733	Y
omics2	S70	omics1	S70	1.036081075668335	Y
omics2	S71	omics1	S71	1.0833396911621094	Y
omics2	S72	omics1	S72	0.8800620436668396	Y
omics2	S73	omics1	S73	0.9281953573226929	Y
omics2	S74	omics1	S74	0.8769590854644775	Y
omics2	S75	omics1	S75	0.9919742345809937	Y
omics2	S76	omics1	S76	0.9234930276870728	Y
omics2	S77	omics1	S77	0.8984770774841309	Y
omics2	S78	omics1	S78	0.9862574338912964	Y
omics2	S79	omics1	S79	1.1945297718048096	Y
omics2	S80	omics1	S80	1.0297341346740723	Y
omics2	S81	omics1	S81	1.1705317497253418	Y
omics2	S82	omics1	S82	1.0611186027526855	Y
omics2	S83	omics1	S83	1.2351915836334229	Y
omics2	S84	omics1	S84	0.9768471717834473	Y
omics2	S85	omics1	S85	0.8559889793395996	Y
omics2	S86	omics1	S86	0.976224422454834	Y
omics2	S87	omics1	S87	0.9206779599189758	Y
omics2	S88	omics1	S88	1.0581735372543335	Y
omics2	S89	omics1	S89	1.114855170249939	Y
omics2	S90	omics1	S90	1.0873863697052002	Y
omics2	S91	omics1	S91	1.0108482837677002	Y
omics2	S92	omics1	S92	1.1040865182876587	Y
omics2	S93	omics1	S93	0.9166602492332458	Y
omics2	S94	omics1	S14	1.1835864782333374	N
omics2	S95	omics1	S15	0.8054772019386292	N
omics2	S96	omics1	S16	0.9273443818092346	N
omics2	S97	omics1	S17	1.0120136737823486	N
omics2	S98	omics1	S18	0.9451664090156555	N
omics2	S99	omics1	S99	1.0558245182037354	Y
omics2	S100	omics1	S100	1.0380990505218506	Y
omics3	S1	omics1	S1	0.9778299331665039	Y
omics3	S2	omics1	S2	0.9724648594856262	Y
omics3	S3	omics1	S3	1.0035074949264526	Y
omics3	S4	omics1	S4	0.9794229865074158	Y
omics3	S5	omics1	S5	0.8746848106384277	Y
omics3	S6	omics1	S6	0.7993989586830139	Y
omics3	S7	omics1	S7	1.0410327911376953	Y
omics3	S8	omics1	S8	1.0747965574264526	Y
omics3	S9	omics1	S9	0.9745204448699951	Y
omics3	S10	omics1	S10	1.0202518701553345	Y
omics3	S11	omics1	S11	1.1070791482925415	Y
omics3	S12	omics1	S12	0.9251306056976318	Y
omics3	S13	omics1	S13	0.9697703123092651	Y
